01-01-2016,27,33,16,27,21,14,12,12,15,15,13,13,14,12,11,7,8,9,11,32,63,93,133,122
02-01-2016,134,109,81,61,58,48,39,36,42,38,43,41,39,37,23,19,16,21,21,28,79,88,96,127
03-01-2016,118,131,105,97,87,74,61,47,36,38,35,46,55,9,13,7,10,8,6,8,11,11,11,7
04-01-2016,12,20,87,98,80,69,55,43,19,18,12,16,9,14,12,8,7,10,12,12,9,8,13,13
05-01-2016,7,3,6,7,6,8,10,21,25,40,47,52,15,7,7,10,12,14,17,17,23,19,28,35
06-01-2016,55,74,95,66,70,61,52,39,34,31,39,36,14,15,17,19,18,16,20,21,17,19,16,17
07-01-2016,21,15,9,15,10,9,5,7,8,5,5,8,8,10,9,10,17,10,9,7,10,13,12,12
08-01-2016,14,9,7,5,6,7,9,11,25,27,32,17,13,12,10,9,8,11,23,23,19,46,56,66
09-01-2016,89,93,74,73,49,49,46,38,39,41,48,33,24,12,10,10,8,7,5,12,17,13,19,27
10-01-2016,55,118,142,126,123,83,73,68,73,70,71,55,33,42,28,17,18,23,18,31,73,105,127,103
11-01-2016,51,74,97,69,41,59,70,77,69,67,78,65,34,24,27,22,19,19,22,19,23,32,33,41
12-01-2016,53,52,54,20,7,8,9,14,30,17,19,12,10,9,10,12,13,17,25,16,10,20,22,16
13-01-2016,28,32,12,11,10,9,10,17,28,19,16,12,14,10,16,18,12,8,17,6,10,9,16,8
14-01-2016,11,6,5,8,7,7,10,17,25,15,17,8,7,5,4,4,6,8,7,10,9,23,42,60
15-01-2016,67,54,55,56,40,37,32,30,39,37,43,29,18,16,17,12,11,8,8,8,9,8,9,7
16-01-2016,6,11,8,7,7,7,7,11,8,11,9,10,8,11,12,13,16,16,13,12,10,14,21,46
17-01-2016,28,50,38,14,9,6,8,8,8,7,7,11,10,9,7,6,5,6,9,113,22,18,12,9
18-01-2016,10,9,12,8,9,9,9,12,15,15,13,10,8,10,12,10,10,9,13,13,16,21,12,19
19-01-2016,18,16,11,13,18,14,17,15,20,24,24,17,21,12,13,9,10,15,22,24,34,43,37,38
20-01-2016,37,34,26,16,15,10,8,8,14,15,16,23,15,6,14,16,8,13,15,24,27,33,25,19
21-01-2016,15,11,14,20,13,15,21,18,19,26,21,22,14,14,11,7,7,12,14,17,27,47,34,46
22-01-2016,57,64,43,33,23,21,23,26,22,24,19,19,19,20,16,11,19,19,24,23,28,22,21,23
23-01-2016,22,14,13,14,14,17,12,16,19,17,16,16,18,14,17,21,18,21,19,26,26,32,40,33
24-01-2016,33,29,25,19,20,21,17,26,23,20,21,19,17,21,17,17,12,16,16,34,41,54,55,59
25-01-2016,72,41,21,21,15,19,20,26,24,36,26,23,21,21,23,20,23,28,26,32,36,55,59,62
26-01-2016,59,44,48,43,39,37,38,38,39,49,56,60,39,32,29,26,17,14,16,22,22,21,21,19
27-01-2016,29,25,21,20,11,17,23,35,38,35,40,35,25,25,17,14,14,17,16,20,17,15,60,88
28-01-2016,151,162,121,88,79,63,61,53,60,70,65,52,39,24,20,15,19,20,17,20,16,14,20,22
29-01-2016,32,56,67,77,57,46,44,38,47,54,55,50,38,22,14,17,14,16,16,19,19,29,25,44
30-01-2016,87,97,86,83,80,73,20,15,12,9,17,21,15,14,15,14,20,13,17,23,38,53,73,81
31-01-2016,70,85,93,87,79,68,56,55,47,45,49,45,28,23,22,19,28,28,24,25,18,16,21,12
01-02-2016,10,12,12,11,11,9,8,14,30,23,16,16,16,20,25,18,21,19,26,21,22,25,31,20
02-02-2016,39,36,52,19,43,43,42,46,52,52,52,48,43,26,17,15,20,22,25,25,31,35,41,76
03-02-2016,85,99,86,80,59,45,58,55,59,54,59,26,24,27,20,17,19,21,20,24,24,29,39,20
04-02-2016,23,21,8,13,16,23,20,29,39,37,44,20,8,10,9,8,8,8,9,7,6,4,11,8
05-02-2016,5,7,6,7,6,7,9,11,17,10,14,8,7,6,9,9,10,7,5,6,5,8,7,9
06-02-2016,9,6,4,3,3,4,7,5,6,18,12,13,13,10,10,11,10,10,14,18,23,33,52,26
07-02-2016,55,76,106,86,57,43,35,32,30,27,24,13,13,14,13,11,17,21,19,23,32,38,38,128
08-02-2016,32,23,22,22,19,18,19,20,30,33,30,23,17,18,21,24,26,21,14,19,23,17,79,83
09-02-2016,101,116,104,110,94,74,53,53,54,68,59,53,43,38,24,27,20,20,16,22,20,21,27,52
10-02-2016,66,108,125,107,85,70,61,59,53,56,47,36,9,8,9,14,11,8,7,6,8,13,11,11
11-02-2016,10,9,13,13,12,10,9,10,22,12,13,11,16,13,11,8,16,11,7,9,25,28,30,38
12-02-2016,24,31,25,7,9,20,33,33,33,48,51,29,11,14,18,17,14,10,11,12,11,17,10,11
13-02-2016,12,17,16,21,19,18,20,20,21,29,22,19,17,20,17,17,8,10,15,11,8,6,9,10
14-02-2016,10,10,9,16,20,31,33,29,29,30,31,30,10,14,13,11,11,17,17,11,14,9,11,10
15-02-2016,11,13,13,11,14,8,12,12,12,17,20,27,25,14,18,15,13,11,12,12,13,9,9,11
16-02-2016,10,9,9,7,9,11,10,19,26,46,35,14,14,10,10,14,13,18,16,24,17,31,35,42
17-02-2016,62,60,56,45,28,31,33,38,44,43,36,55,33,41,49,39,29,27,30,28,41,38,35,36
